BranchID,ProductID
1001,48798
1001,48807
1001,49817
1001,55666
1001,53312
1001,54883
1002,55239
1002,48799
1002,48807
1002,50258
1002,39926
1002,55662
1002,53106
1002,53312
1002,54177
1002,55841
1002,55842
1005,48798
1005,48800
1005,48805
1005,48816
1005,2419
1005,39927
1005,55662
1005,55745
1005,53115
1005,53330
1005,54177
1005,55841
1005,57608
1007,400
1007,55239
1007,48797
1007,48798
1007,48799
1007,0
1007,48801
1007,48805
1007,48806
1007,48807
1007,48816
1007,50258
1007,2419
1007,6147
1007,6380
1007,39926
1007,39927
1007,49817
1007,55661
1007,55662
1007,55665
1007,55666
1007,55745
1007,53106
1007,53114
1007,53115
1007,53312
1007,53330
1007,53331
1007,54177
1007,54874
1007,54883
1007,55841
1007,55842
1007,57608
1007,57609
1007,58837
1009,48797
1009,48800
1009,48816
1009,6147
1009,55665
1009,53115
1009,54874
1009,58837
